UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
11,1/3/18 14:09,1/3/18 14:23,IP Address,100,2136,TRUE,ALL,1/3/18 18:13,R_1rwgzOHXthSiXoM,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Would you like to be more specific?,"Agnostic,Atheist,Jewish,Protestant",N,N,N,CogSci,"Cognitive science,Computational linguistics,	First language acquisition,Neurolinguistics,Psychology of Language,Second language acquisition,Semantics",You don't,1,O,"Computational methods,Experimental methods",2,N,E,N,Psychology,NA,NA,NA,,Psychology,Psych/CogSci,N,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",Yes,You don't. My position is (please specify),I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Rarely,Rarely,Rarely,Never,Never,"		Ethnic groups",NA,Yes,No,No,"Yes, I have been intentionally excluded ",Not sure,"Joining a department,		Joining a (sub-)discipline	,		Starting a collaboration		,		Starting a research project,Conference/workshop presentation,	Other academic activities at a conference/workshop ,		Professional organization",No,Good,Very good,Very good,I don't know/can't say,10-20 years,stayed the same,10-20 years,I don't know/can't say,NA,No,Yes,"	No",Married,"North America, including the Caribbean ","	Europe"
12,1/3/18 14:09,1/3/18 14:19,IP Address,14,112,FALSE,Demo,1/18/18 19:07,R_1erd3sx7OAiCmbj,anonymous,EN,Other,Queer,N,Multisexual+Queer,White,M,Jewish,Yes,Autistic / autism spectrum,"Agnostic,Jewish",Y,Y,N,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
13,1/3/18 14:10,1/3/18 14:19,IP Address,100,2601,TRUE,ALL,1/13/18 3:10,R_u7EFSOtAjcgiO3L,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Spiritual but not religious,Y,N,N,"Yes, in addition to other descriptors","Applied linguistics,Cognitive science,Discourse analysis,Documentary and descriptive linguistics,Educational linguistics,	First language acquisition,Psychology of Language,Second language acquisition,Semantics,Sociocultural linguistics,Sociolinguistics ","Cognitive ,Formal",2,O,"Community-engaged research,Ethnographic methods,Experimental methods, Field methods",4,N,E,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Africa,Other,No,No,"	Ph.D",NR,Yes,"	Associate professor (tenured)",I have in the past worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,No,No,Rarely,Never,Rarely,Rarely,Rarely,Never,"		Ethnic groups,		Nationality	,		Nonnative English speakers,Particular subfields/other academics	,Race,		Skin color",NA,Yes,Yes,Yes,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)","		Committee membership",No,Good,Good,Fair,gotten worse,10-20 years,gotten worse,10-20 years,gotten worse,10-20 years,Yes,Yes,"	No",Domestic partner/Long-term relationship,"	Europe",Africa
14,1/3/18 14:20,1/3/18 14:33,IP Address,100,4110,TRUE,ALL,1/7/18 9:01,R_5bEsHfOLBzPesV3,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Mental health / emotional disabilities,Agnostic,Y,N,N,"Yes, solely","Historical linguistics,Syntax","Formal,Generative",2,G,"Corpus methods, Qualitative methods",2,Y,C,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",Yes,Full professor,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Often,Never,Rarely,Often,Rarely,Rarely,"Age	,		Gender,		Nationality	,		Nonnative English speakers",NA,Yes,No,,"		No","		No",NR,Yes,Fair,Bad,Fair,stayed the same,5-10 years,stayed the same,5-10 years,stayed the same,5-10 years,No,No,"	No","	Single","	Europe","	Europe"
15,1/3/18 14:22,1/3/18 14:29,IP Address,100,276,TRUE,ALL,1/8/18 0:16,R_Z9RrIk3MnCsk4db,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,"Christian,Protestant",Y,N,Y,"Yes, solely",NR,NR,NR,NR,NR,NR,NR,NR,NR,"Linguistics,Language/Area-specific department (click to receive more options in next question)",NA,NA,Germanic languages/studies,Germanic,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,NR,NR,No,Undergraduate student,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Rarely,Never,Sometimes,Rarely,Sometimes,Rarely,"		(Dis)ability status,		Gender",NA,NA,,,"		No","		No",NR,NR,Good,NR,Good,NR,NR,NR,NR,NR,NR,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
16,1/3/18 14:23,1/3/18 14:35,IP Address,76,336,FALSE,ALL,1/20/18 21:27,R_TnguMHART1x4I2B,anonymous,EN,Male,Gay/Lesbian,N,Monosexual-gay/lesbian,White,,White,No,N/A,Atheist,N,N,N,"Yes, in addition to other descriptors","Computational linguistics,	Pragmatics,Semantics",Generative,1,G,"Computational methods, Corpus methods,Experimental methods, Field methods",4,N,B,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I currently do fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,"		Gender,Gender identity/presentation,		Nonnative English speakers,Particular subfields/other academics	",NA,Yes,Yes,Yes,Not sure,"		Yes, I have been excluded (perhaps intentionally)","		Fieldwork/a specific field site,Conference/workshop presentation,		Conference/workshop dinner,		Professional organization,		Informal meetings,		Formal meetings",No,Fair,Fair,Fair,gotten better,10-20 years,stayed the same,< 5 years,stayed the same,< 5 years,NR,NR,,NR,NR,NR
17,1/3/18 14:24,1/3/18 14:40,IP Address,100,73677,TRUE,ALL,1/6/18 13:09,R_2PvY4XIR4EnMUC9,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,"Yes, solely","Language variation,Phonetics,Phonology,Sociolinguistics ",Usage-based,1,O,"Corpus methods,Experimental methods",2,N,B,N,"Linguistics,Language/Area-specific department (click to receive more options in next question),Modern Languages",NA,NA,English,English,Q,Language,N,English,Europe,Europe,No,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have never worked in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,No,No,Rarely,Never,Rarely,Rarely,Rarely,Never,"		Ethnic groups,Gender identity/presentation,		Nonnative English speakers,Particular subfields/other academics	,		Religion",NA,Yes,Not sure,No,"		No","		No",NR,No,Fair,Good,Fair,gotten better,5-10 years,gotten better,5-10 years,gotten better,< 5 years,No,No,"	No",Domestic partner/Long-term relationship,"	Europe","	Europe"
18,1/3/18 14:25,1/3/18 18:41,IP Address,76,237,FALSE,NONE,2/6/18 10:41,R_2WwLMbvxgcT5du3,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
19,1/3/18 14:27,1/9/18 14:36,IP Address,100,233,FALSE,NONE,2/9/18 2:54,R_1hZugr2Gnb66OYt,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
20,1/3/18 14:38,1/7/18 8:24,IP Address,100,1455,TRUE,ALL,4/17/18 1:34,R_VOo8NCteN7I6q8p,anonymous,EN,Female,Queer,N,Multisexual+Queer,White,,White,Yes,"Mental health / emotional disabilities,Would you like to be more specific?","Atheist,You don't",N,N,N,LingAnthro,"	Linguistic Anthropology,Sociolinguistics ",You don't,0,O,"Community-engaged research,Ethnographic methods, Field methods, Qualitative methods",4,Y,O,Y,Anthropology,NA,NA,NA,,Anthropology,Anthropology,N,,"North America, including the Caribbean",North America,Yes,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have never worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",Yes,Often,Sometimes,Sometimes,Often,Rarely,Never,"		Ethnic groups,		Gender,		Nonnative English speakers,Particular subfields/other academics	,Race,		Religion",NA,Yes,No,No,"		Yes (other)","		Yes (other)","Social events in your department,Academic events in your department (colloquium talks, etc),		Conference/workshop dinner,		Other social events at a conference/workshop,		Committee membership,		Informal meetings,		Formal meetings",Yes,Fair,Good,Fair,stayed the same,5-10 years,stayed the same,5-10 years,stayed the same,5-10 years,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
21,1/3/18 14:42,1/3/18 14:45,IP Address,100,1435,TRUE,ALL,4/6/18 14:29,R_3m9Ri3IaUp2q18n,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Christian,Y,N,Y,"Yes, in addition to other descriptors","Discourse analysis,Interpreting or Translation,Psychology of Language,Semantics,Signed language linguistics","Cognitive ,Functional",2,F,Experimental methods,1,N,E,N,Linguistics,NA,NA,NA,,Q,NA,Q,,"North America, including the Caribbean",North America,No,No,"	Ph.D",Within the past 5 years,Yes,"	K-12 Education",I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Often,Rarely,Sometimes,Often,Sometimes,Rarely,"		(Dis)ability status,Gender identity/presentation,		Nonnative English speakers,Particular subfields/other academics	,		Religion",NA,Yes,Not sure,No,Not sure,Not sure,"		Starting a collaboration		,		Committee membership",No,Fair,Fair,NR,I don't know/can't say,5-10 years,I don't know/can't say,5-10 years,NR,NR,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
22,1/3/18 14:43,1/3/18 15:04,IP Address,100,435,TRUE,ALL,1/3/18 19:41,R_z6xPYZMuRDIWqvD,anonymous,EN,Male,NR,NR,NR,White,,White,No,N/A,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,"Yes, solely","Computational linguistics,Sociolinguistics ",NR,NR,NR,"Computational methods, Corpus methods",2,N,C,N,Language/Area-specific department (click to receive more options in next question),NA,NA,English,English,NR,NR,NR,,NR,NR,Yes,No,"	Ph.D",NR,Yes,"	Tech industry",I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Never,Never,Never,Never,Rarely,Never,"		Nonnative English speakers",NA,NA,,,"		No","Yes, I have been intentionally excluded ","		Joining a (sub-)discipline	",No,Good,Good,NR,NR,NR,NR,NR,NR,NR,No,No,"	No",NR,NR,NR
23,1/3/18 14:44,1/3/18 14:57,IP Address,100,1147,TRUE,ALL,1/8/18 17:38,R_3h6kteTlvUj547g,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,Computational linguistics,Language variation,Neurolinguistics,Psychology of Language,You don't. I work in (please specify)",Cognitive,1,O,"Computational methods, Corpus methods,Experimental methods",3,N,B,N,"Linguistics, Cognitive Science",NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",No,You don't. My position is (please specify),I currently work in a lab-based research group,I have never done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,Yes,No,No,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,"Age	,		Nonnative English speakers",NA,NA,,,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)",NR,No,Good,Fair,Other (please specify),stayed the same,5-10 years,NR,NR,NR,NR,No,Yes,NA,Married,"	Europe","	Europe"
24,1/3/18 14:46,1/3/18 14:56,IP Address,100,1065,TRUE,ALL,1/6/18 17:24,R_Zxd95bDrDBSzC7L,anonymous,EN,Female,Pansexual,N,Multisexual+Queer,POC,,African,No,N/A,Spiritual but not religious,Y,N,N,"Yes, solely","Applied linguistics,Neurolinguistics,Phonetics,Psychology of Language,Sociolinguistics ","Cognitive ,Usage-based",2,O,"Community-engaged research,Ethnographic methods,Experimental methods, Qualitative methods",4,Y,E,Y,"Linguistics, Psychology",NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,B.A. / B.S.,Within the past 5 years,Yes,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,"	Yes",No,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Never,"Age	,		Gender,		Nonnative English speakers,Particular subfields/other academics	,Race",NA,Yes,No,No,"		Yes (other)","		Yes (other)","Joining a department,Conference/workshop presentation,	Other academic activities at a conference/workshop ,		Conference/workshop dinner,		Other social events at a conference/workshop,		Informal meetings",Yes,Fair,Fair,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No","	Single","North America, including the Caribbean ","North America, including the Caribbean "
